Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT",,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(4S)-4-{[(9Z)-3-Hydroxy-9-octadecenoyl]oxy}-4-(trimethylammonio)butanoate,441.3454,0.34,35032598.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(4S)-4-{[(11Z)-3-Hydroxy-11-octadecenoyl]oxy}-4-(trimethylammonio)butanoate,441.3454,0.34,35032597.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C160_RP,N-Stearoyltyrosine,447.3351,26.94,0.170000000000000,-0.110000000000000,-0.070000000000000,2.400000000000000,1.180000000000000,-1.220000000000000,2.680000000000000,1.420000000000000,-1.260000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000003283152064115930000000000,0.003870346561659050000000000000,0.008362718442675110000000000000,0.000001051607961596430000000000,0.001003591627812570000000000000,0.007765555312846020000000000000,160066163.913924000000000,152361391.926627000000000,135495457.137789000000000,159855220.956337000000000,141086334.174326000000000,111331100.543124000000000,128901028.105066000000000,181313058.081787000000000,43955459.123454800000000,35705115.787915200000000,19054487.759727000000000,19837940.458121400000000,19615229.695717500000000,18655320.523029600000000,32937464.498003300000000,28869740.953005400000000,67080972.732401300000000,67951337.591968200000000,58594330.400897700000000,42403479.254468900000000,63501344.478504400000000,59371535.761527300000000,52384897.657235500000000,56944366.907626900000000,1.4E+05,1.3E+05,1.3E+05,1.3E+05,1.5E+05,1.3E+05,1.5E+05,18.7,10.5,31.2,41.3,19.4,9.5,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-Stearoyl-L-tyrosine,447.3349,0.44,5142268.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-Stearoyltyrosine,447.3349,0.44,2284895.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C161_RP,L-alpha-lysophosphatidylcholine,467.3015,27.41,0.440000000000000,0.130000000000000,-0.220000000000000,-3.770000000000000,-1.670000000000000,2.100000000000000,-3.460000000000000,-1.010000000000000,2.450000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000000000003941718746274930000,0.000000098620665793907600000000,0.000000024623252325994800000000,0.000000000010124352336885400000,0.000044303623613415700000000000,0.000000006265924748757610000000,3899166.295688790000000,6141142.784397830000000,4194398.047453840000000,5129706.706979880000000,4138454.230671020000000,5776300.601965550000000,3680015.118180740000000,4755809.042941330000000,71102422.003439700000000,63155989.202512000000000,53960099.732144100000000,56745755.730869000000000,53626769.103021200000000,62991481.434105400000000,55667488.799790900000000,54013255.831623500000000,16743029.655740400000000,15408387.567032000000000,13877028.227533400000000,9432245.493332890000000,11746785.631622900000000,11538704.151705100000000,10829535.345947100000000,10404949.669296400000000,1.8E+05,1.6E+05,1.6E+05,1.7E+05,1.6E+05,1.5E+05,1.6E+05,22.4,19.8,7.7,14.3,11.5,5.9,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-alpha-lysophosphatidylcholine,467.3012,0.56,405289.000000000000000,26.826936775842900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-heptadecanoyl-sn-glycero-3-phosphoethanolamine,467.3012,0.56,34999459.000000000000000,26.826936775842900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C162_RP,2-palmitoyl-sn-glycero-3-phosphocholine,495.3327,29.92,0.530000000000000,0.270000000000000,-0.240000000000000,0.310000000000000,1.370000000000000,1.060000000000000,0.560000000000000,2.140000000000000,1.570000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.775682679599082000000000000000,0.000003895379232942930000000000,0.000144618056101932000000000000,0.025207416702421400000000000000,0.000000015367772944607600000000,0.000006478184482194550000000000,179669991.590245000000000,270814930.076233000000000,168466805.468226000000000,241918227.493338000000000,169080070.389735000000000,245727543.267910000000000,164053875.576189000000000,218030244.708255000000000,173171334.234464000000000,177535074.629045000000000,119558812.295640000000000,119043044.479448000000000,113487515.825982000000000,152390227.192970000000000,153400945.798193000000000,179464986.934433000000000,71294325.143815800000000,61764882.844585000000000,63683370.827864900000000,49120657.001774500000000,66840500.543389800000000,68257427.245820800000000,50219399.217869400000000,44600874.068013000000000,6.1E+05,1.0E+06,2.7E+05,5.9E+05,5.8E+05,4.3E+05,3.1E+05,19.6,14.4,18.0,20.2,8.9,3.9,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5385682,495.3325,0.36,405287.000000000000000,34.539698346891900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-palmitoyl-sn-glycero-3-phosphocholine,495.3325,0.36,21403165.000000000000000,35.454062076143300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C163_RP,5385682,495.3327,30.62,0.560000000000000,0.350000000000000,-0.220000000000000,0.320000000000000,1.050000000000000,0.730000000000000,0.530000000000000,1.820000000000000,1.300000000000000,0.400481783410264000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.800311212448396000000000000000,0.000025931664563626300000000000,0.000920740826058071000000000000,0.014987696768003800000000000000,0.000000015727782409769000000000,0.000009457306175504560000000000,909067418.196173000000000,1711655643.311170000000000,841958547.233985000000000,1282013410.137910000000000,866408034.319692000000000,1168941608.818070000000000,838358618.811199000000000,1232196473.902250000000000,883995339.599608000000000,954743091.719872000000000,650507979.482699000000000,764774600.370753000000000,635129581.619280000000000,826494023.554572000000000,718044066.797304000000000,916692019.230278000000000,460768281.257053000000000,404708704.941016000000000,456949377.892285000000000,295566415.553583000000000,370537428.560241000000000,397092580.544976000000000,317423185.951686000000000,313193715.400603000000000,6.4E+05,2.1E+06,1.8E+06,2.3E+06,1.6E+06,3.1E+06,3.4E+06,16.0,17.4,9.9,15.8,18.3,3.8,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5385682,495.3325,0.38,405287.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-palmitoyl-sn-glycero-3-phosphocholine,495.3325,0.38,21403165.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C164_RP,2-arachidonyl-sn-glycero-3-phosphoethanolamine,501.2858,28.35,0.620000000000000,0.190000000000000,0.370000000000000,1.690000000000000,0.580000000000000,-1.120000000000000,2.120000000000000,0.820000000000000,-1.300000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.006120237430047490000000000000,0.872732119995127000000000000000,0.083582959868513000000000000000,0.002151452161750510000000000000,0.211595685741092000000000000000,0.226393063232825000000000000000,64271348.626155800000000,69692954.141611000000000,68211875.144471900000000,109944561.918782000000000,73058610.110931300000000,106618872.097945000000000,77747956.996782500000000,111863382.511531000000000,25592765.174913900000000,25844281.549552500000000,19817045.228089000000000,20695769.698950300000000,18676701.479245300000000,24072550.851224200000000,23834153.279437900000000,37493618.917853400000000,33535874.645661200000000,23854980.294379300000000,87420951.566514600000000,78215121.115963100000000,61263600.828342700000000,78506937.370030000000000,30563027.990670800000000,44433770.846965900000000,2.1E+06,1.3E+06,2.8E+06,1.5E+06,5.6E+06,8.7E+06,9.4E+05,47.8,50.2,27.0,14.9,20.1,8.3,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-arachidonoyl-sn-glycero-3-phosphoethanolamine,501.2855,0.47,21403171.000000000000000,54.991227386817000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-arachidonyl-sn-glycero-3-phosphoethanolamine,501.2855,0.47,24769368.000000000000000,55.382929913676200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"lysophosphatidylethanolamine (20:4(8Z,11Z,14Z,17Z)/0:0)",501.2855,0.47,24769395.000000000000000,52.243290837217300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"lysophosphatidylethanolamine 0:0/20:4(8Z,11Z,14Z,17Z)",501.2855,0.47,24769369.000000000000000,52.230445921471200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C165_RP,"lysophosphatidylethanolamine (22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)",525.2859,28.18,0.580000000000000,0.330000000000000,0.130000000000000,1.800000000000000,0.830000000000000,-0.970000000000000,2.050000000000000,1.280000000000000,-0.770000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.001769343084924220000000000000,0.372365348267558000000000000000,0.103493471209612000000000000000,0.001168847380565550000000000000,0.042617532901557200000000000000,0.504881741623937000000000000000,99755286.330224900000000,109200636.075059000000000,105789993.920342000000000,189122977.801696000000000,109556275.729885000000000,155915561.651062000000000,124581498.702525000000000,166955506.050935000000000,36973150.313565600000000,44069437.454264100000000,31511591.976488800000000,32377532.114076300000000,25395256.736581000000000,33648306.121325600000000,30221163.638221300000000,56023022.243348200000000,48494855.903958600000000,37583614.897764800000000,122979179.365285000000000,115276964.926808000000000,72798786.074899500000000,78579506.817775400000000,38223652.204235100000000,54367966.899649700000000,3.0E+06,1.8E+06,2.9E+06,1.7E+06,1.3E+07,1.2E+07,8.7E+06,47.2,53.5,26.5,15.3,21.7,9.6,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"lysophosphatidylethanolamine (22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)",525.2855,0.68,24769403.000000000000000,49.961397260490100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"lysophosphatidylethanolamine (0:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",525.2855,0.68,24769377.000000000000000,49.961397260490100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C166_RP,2-arachidonoyl-sn-glycero-3-phosphocholine,543.3329,28.56,0.300000000000000,0.490000000000000,-0.240000000000000,2.870000000000000,2.800000000000000,-0.080000000000000,2.680000000000000,3.340000000000000,0.660000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000000028025192622412200000000,0.000000008309342934488370000000,0.999999999996173000000000000000,0.000000065675772081701100000000,0.000000001983779730961390000000,0.210015274716468000000000000000,79295007.224202200000000,69279982.630122800000000,82082678.940003400000000,105016292.657079000000000,87452123.276137500000000,94775786.848238100000000,74869566.782477400000000,103690040.384197000000000,16458097.532359200000000,15639732.824034500000000,9495631.767951880000000,12452463.456177100000000,10964487.334189100000000,15300737.843901400000000,11036271.225364500000000,16542728.150167700000000,11042590.124116500000000,7168130.225410850000000,12286448.341945100000000,10675781.654505600000000,12162257.186937200000000,15066571.739135500000000,8072304.456440610000000,8932146.177208160000000,2.0E+05,1.8E+05,3.6E+05,4.2E+05,2.5E+05,7.5E+05,4.1E+05,32.4,18.0,11.8,25.5,17.8,6.5,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-arachidonoyl-sn-glycero-3-phosphocholine,543.3325,0.69,21403155.000000000000000,18.219810903507300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1-[(8Z,11Z,14Z,17Z)-icosatetraenoyl]-sn-glycero-3-phosphocholine",543.3325,0.69,24766532.000000000000000,18.219810903507300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C167_RP,1-arachidonoyl-sn-glycero-3-phosphocholine,543.3329,28.91,-0.030000000000000,0.360000000000000,-0.070000000000000,2.360000000000000,3.730000000000000,1.370000000000000,1.970000000000000,3.780000000000000,1.810000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.004027629402626240000000000000,0.000001543620134972740000000000,0.007587580242551040000000000000,0.002600041906448250000000000000,0.000002182535889362000000000000,0.019087565759963700000000000000,62483823.393075400000000,93734183.718002800000000,56178602.065544800000000,53977843.874794000000000,56695289.411348400000000,56841563.934269700000000,41842399.177361700000000,52584645.164250800000000,17409228.775090400000000,16468778.261377500000000,10931433.073881500000000,11770394.212692300000000,10496179.507645900000000,18166960.875682800000000,11022856.279202500000000,8677660.940403760000000,5395151.226140680000000,4029491.210602620000000,989370.149162808000000,2352482.893595320000000,4632978.373391720000000,6235586.596234370000000,3845112.408562230000000,4051243.197121510000000,3.5E+05,2.8E+05,2.4E+05,2.2E+05,1.8E+05,1.7E+05,1.7E+05,38.2,51.8,31.5,26.5,30.7,16.2,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-arachidonoyl-sn-glycero-3-phosphocholine,543.3325,0.80,21403155.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1-[(8Z,11Z,14Z,17Z)-icosatetraenoyl]-sn-glycero-3-phosphocholine",543.3325,0.80,24766532.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C168_RP,"1-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine",567.3327,28.36,0.200000000000000,0.670000000000000,-0.090000000000000,3.110000000000000,3.690000000000000,0.580000000000000,2.640000000000000,3.980000000000000,1.340000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000000000236790638379165000000,0.000000000010286146934213000000,0.016724058805466700000000000000,0.000000003957521052439770000000,0.000000000007071539121468400000,0.000048767131887926300000000000,39655398.612287000000000,32004167.629323000000000,38780655.810653200000000,46601118.653614600000000,42919653.149823100000000,46183812.123455900000000,37869796.387344200000000,43714906.570899200000000,6284896.095488100000000,7622269.864442730000000,4678337.802039740000000,6113595.481877720000000,4376277.933465750000000,7874068.192868250000000,4033927.170820190000000,6789653.594169710000000,3160621.160745140000000,2418727.002322740000000,3787617.686262100000000,2974653.679708290000000,2898114.241138260000000,3407649.008329970000000,2157384.741305180000000,2711648.041778070000000,1.5E+05,1.6E+05,1.6E+05,1.8E+05,2.0E+05,3.7E+05,2.6E+05,14.6,22.5,11.3,20.6,16.3,5.5,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine",567.3325,0.39,8590975.000000000000000,18.165742786708700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C169_RP,"1-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine",567.3328,28.65,0.040000000000000,0.170000000000000,-0.260000000000000,2.390000000000000,5.040000000000000,2.650000000000000,2.260000000000000,5.340000000000000,3.080000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000009159167000589520000000000,0.000000000110034153042938000000,0.000003580617410712100000000000,0.000006758133285100370000000000,0.000000000028818768677283100000,0.000000509990266877501000000000,35916094.144091400000000,56196985.045022800000000,34191142.649830500000000,33962378.877269800000000,37701048.139002200000000,37623875.619194100000000,27828999.184004600000000,34654559.604017900000000,7666000.482846700000000,8214247.254554930000000,5993172.650430290000000,6871492.677713530000000,7403116.024089420000000,10468390.601496200000000,5680047.472924880000000,5521166.097985250000000,1679789.951271630000000,657163.899783224000000,693624.348186924000000,1015454.694338300000000,894410.031951272000000,1336092.473470230000000,1242066.397449700000000,766196.476181056000000,2.7E+05,2.4E+05,2.1E+05,2.0E+05,1.8E+05,1.9E+05,1.7E+05,31.9,38.3,27.1,14.9,25.9,12.7,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine",567.3325,0.51,8590975.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c170_RP,"THREONIC ACID, L-",136.0373,6.02,-0.150000000000000,-0.330000000000000,-0.490000000000000,-0.470000000000000,0.060000000000000,0.530000000000000,-0.290000000000000,0.400000000000000,0.690000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.212635609719386000000000000000,1.000000000000000000000000000000,0.081562538897478200000000000000,1.000000000000000000000000000000,0.105831595755832000000000000000,0.020857388463840100000000000000,12529616.693064700000000,18913651.600920000000000,13277628.444288500000000,11463097.310523100000000,11807746.428741600000000,10483883.519730700000000,11720878.453332500000000,10280152.486425200000000,18201086.795408100000000,13745673.072361800000000,16812423.872457700000000,12855266.771763300000000,16921544.805733700000000,13078328.795206800000000,16073285.998007600000000,15455284.408125800000000,13456466.176012400000000,11655942.387467600000000,12294540.968365000000000,8058653.372022160000000,11022786.031145700000000,7151049.392023800000000,10435704.552605700000000,8529873.141720980000000,9.7E+04,9.9E+04,7.1E+04,9.5E+04,9.7E+04,7.6E+04,8.2E+04,22.1,11.4,8.5,5.2,32.2,5.9,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-threonic acid,136.0372,1.01,4573940.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-erythronic acid,136.0372,1.01,2061231.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"THREONIC ACID, L-",136.0372,1.01,388628.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,threonic acid,136.0372,1.01,133224.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c171_RP,gaboxadol,140.0587,4.71,0.140000000000000,0.360000000000000,-0.060000000000000,1.290000000000000,3.060000000000000,1.770000000000000,1.070000000000000,3.260000000000000,2.190000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.056755607276089600000000000000,0.000000792459554705288000000000,0.000319118127030015000000000000,0.075279602675136600000000000000,0.000000292760206270374000000000,0.000089560037294407300000000000,7545970.797924280000000,13687755.042836400000000,11285554.063041700000000,8738579.622014340000000,10627705.943468800000000,10459932.907194100000000,11879833.436582700000000,15175933.501644600000000,7220983.855644320000000,6172575.866029540000000,3906001.808576200000000,5302390.045877370000000,3655104.695638470000000,4403121.868374240000000,5039351.894313200000000,7249350.892005540000000,1706819.787093650000000,1464976.832184370000000,1335660.448227880000000,1050607.759476600000000,1293245.901632920000000,1820186.746072490000000,726272.381247792000000,748515.622280094000000,2.1E+05,1.9E+05,1.7E+05,1.0E+05,8.2E+04,2.5E+05,1.4E+05,36.9,32.0,21.0,32.8,24.5,18.7,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pi-Methylimidazoleacetic acid,140.0586,0.62,4954265.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-(Hydroxymethyl)-2-methyl-4-pyrimidinol,140.0586,0.62,10554726.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Imidazolepropionic acid,140.0586,0.62,63798.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,3-dimethyluracil",140.0586,0.62,63310.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gaboxadol,140.0586,0.62,3330.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Methylimidazoleacetic acid,140.0586,0.62,68319.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3-methylthymine,140.0586,0.62,109824.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2,4-Dimethoxypyrimidine",140.0586,0.62,121621.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c172_RP,alpha-Ketoglutaric acid,146.0216,6.07,-0.090000000000000,-0.130000000000000,-0.320000000000000,-0.440000000000000,-1.940000000000000,-1.500000000000000,-0.390000000000000,-1.710000000000000,-1.320000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.475953464030979000000000000000,0.000000115200107989828000000000,0.000006698540423142170000000000,0.699777740470549000000000000000,0.000001103213142932600000000000,0.000041989924221456000000000000,3382738.549291610000000,3749963.453859200000000,3541431.216331080000000,3099528.511773250000000,3042651.958714270000000,3015550.005530150000000,3110814.983117170000000,2780776.311934110000000,4520590.578939400000000,4292839.986586780000000,4399401.214499960000000,3774714.000284330000000,3880749.882570610000000,3586976.316464150000000,4417072.469286040000000,4257460.468313530000000,16392305.313832700000000,15159266.458046600000000,12342698.207842600000000,8617621.329040970000000,12637480.194434000000000,7113853.420517460000000,11206708.785955700000000,11393142.875412400000000,1.8E+05,1.2E+05,1.6E+05,1.3E+05,1.3E+05,1.4E+05,1.1E+05,33.4,17.1,8.8,6.7,13.1,7.1,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"5-Hydroxy-2,4-dioxopentanoic acid",146.0215,0.32,4885628.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"dehydro-D-arabinono-1,4-lactone",146.0215,0.32,20016055.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acetonedicarboxylic Acid,146.0215,0.32,61623.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,alpha-Ketoglutaric acid,146.0215,0.32,50.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(S)-2-methyl-3-oxosuccinic acid,146.0215,0.32,389720.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(2R)-4,5-Dihydroxy-2-(hydroxymethyl)-3(2H)-furanone",146.0215,0.32,389800.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,oxaloacetic acid 4-methyl ester,146.0215,0.32,114176.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c173_RP,3-Phenylpropanoic acid,150.0682,11.16,0.820000000000000,1.450000000000000,0.480000000000000,4.780000000000000,2.750000000000000,-2.030000000000000,4.150000000000000,3.100000000000000,-1.050000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000232632610656723000000000000,0.004349948383940480000000000000,0.670270797028852000000000000000,0.000219083262950862000000000000,0.001129207577179030000000000000,0.999999999992595000000000000000,5250739.794984750000000,8731173.369085360000000,5064293.031198050000000,7840525.962534740000000,4320265.335510670000000,9459625.475055440000000,4022716.470158640000000,7624832.902687770000000,126020.064870950000000,696945.091988240000000,186906.442663620000000,158936.565914741000000,576475.486278269000000,837936.376194085000000,154430.147386366000000,238329.289378765000000,787130.732918231000000,1114037.102901340000000,762559.149234156000000,162275.482005627000000,627788.702022545000000,819335.669066336000000,163351.577581425000000,1139621.936845160000000,1.5E+05,6.5E+05,4.8E+05,4.0E+05,5.8E+05,6.0E+05,3.7E+05,56.2,49.5,69.3,81.2,10.1,12.6,,,
